#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         532    -5.34858    -5.54163  0.00705274
         533    -5.38736    -5.54134  0.00704545
         534     -5.4171     -5.5411  0.00703609
         535    -5.40305    -5.54085  0.00702767
         536    -5.47599    -5.54073   0.0070156
         537    -5.36556     -5.5404  0.00701012
         538    -5.34066    -5.54003  0.00700691
         539    -5.46888     -5.5399  0.00699516
         540    -5.48144    -5.53979  0.00698304
         541    -5.40571    -5.53954  0.00697453
         542    -5.40702     -5.5393  0.00696594
         543    -5.35757    -5.53896  0.00696115
         544    -5.39936     -5.5387  0.00695308
         545    -5.35853    -5.53837  0.00694818
         546    -5.41579    -5.53815  0.00693908
         547    -5.37962    -5.53786  0.00693244
         548    -5.37883    -5.53757  0.00692586
         549    -5.48135    -5.53747  0.00691401
         550     -5.3762    -5.53717  0.00690765
         551    -5.35648    -5.53685  0.00690289
         552    -5.39712    -5.53659  0.00689503
         553    -5.48404     -5.5365  0.00688321
         554    -5.44677    -5.53634  0.00687269
         555     -5.4473    -5.53617  0.00686218
         556     -5.4305    -5.53598  0.00685247
         557    -5.42353    -5.53578  0.00684314
         558    -5.36404    -5.53548   0.0068378
         559     -5.3237     -5.5351  0.00683605
         560     -5.3901    -5.53484  0.00682875
         561    -5.47942    -5.53474  0.00681729
         562    -5.51115     -5.5347  0.00680529
         563    -5.58313    -5.53478  0.00679374
         564    -5.51812    -5.53475  0.00678176
         565    -5.48328    -5.53466  0.00677037
         566    -5.46736    -5.53454  0.00675945
         567    -5.61152    -5.53468   0.0067489
         568    -5.58233    -5.53476  0.00673754
         569    -5.46775    -5.53464  0.00672672
         570    -5.39986    -5.53441  0.00671908
         571    -5.38319    -5.53414  0.00671253
         572    -5.38929    -5.53389  0.00670557
         573    -5.31084     -5.5335  0.00670515
         574    -5.35893     -5.5332  0.00670037
         575    -5.38064    -5.53293  0.00669396
         576    -5.36766    -5.53264  0.00668849
         577    -5.44409    -5.53249  0.00667866
         578    -5.46554    -5.53238  0.00666811
         579    -5.50113    -5.53232  0.00665681
         580     -5.4327    -5.53215  0.00664755
         581    -5.50995    -5.53211  0.00663622
         582    -5.50859    -5.53207  0.00662494
         583    -5.47889    -5.53198   0.0066142
         584    -5.52685    -5.53197  0.00660288
         585    -5.52853    -5.53197   0.0065916
         586    -5.44429    -5.53182  0.00658205
         587    -5.47926    -5.53173  0.00657144
         588    -5.45983     -5.5316   0.0065614
         589    -5.42638    -5.53143   0.0065527
         590    -5.51025    -5.53139  0.00654169
         591    -5.51445    -5.53136  0.00653068
         592    -5.49649     -5.5313  0.00651992
         593    -5.52326    -5.53129  0.00650893
         594    -5.48774    -5.53121  0.00649839
         595    -5.59346    -5.53132  0.00648831
         596    -5.55225    -5.53135  0.00647752
         597    -5.58232    -5.53144  0.00646723
         598    -5.60483    -5.53156  0.00645758
         599    -5.53932    -5.53158  0.00644681
         600    -5.51943    -5.53156   0.0064361
         601    -5.67594     -5.5318  0.00642987
