#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         633    -5.54665    -5.54885   0.0141291
         634    -5.54647    -5.54884   0.0141068
         635    -5.54657    -5.54884   0.0140846
         636    -5.54649    -5.54884   0.0140624
         637    -5.54682    -5.54883   0.0140404
         638     -5.5465    -5.54883   0.0140183
         639    -5.54583    -5.54883   0.0139964
         640    -5.54541    -5.54882   0.0139745
         641    -5.54478    -5.54881   0.0139527
         642    -5.54409    -5.54881    0.013931
         643    -5.54441     -5.5488   0.0139093
         644    -5.54392    -5.54879   0.0138877
         645    -5.54337    -5.54878   0.0138662
         646    -5.54294    -5.54877   0.0138448
         647    -5.54231    -5.54876   0.0138234
         648    -5.54165    -5.54875    0.013802
         649    -5.54113    -5.54874   0.0137808
         650    -5.54044    -5.54873   0.0137596
         651    -5.53992    -5.54872   0.0137384
         652    -5.53925     -5.5487   0.0137174
         653    -5.53861    -5.54869   0.0136964
         654    -5.53755    -5.54867   0.0136755
         655    -5.53668    -5.54865   0.0136546
         656    -5.53526    -5.54863   0.0136338
         657    -5.53495    -5.54861   0.0136131
         658     -5.5347    -5.54859   0.0135924
         659    -5.53435    -5.54857   0.0135718
         660    -5.53361    -5.54854   0.0135512
